input,output,data,process
0.0,0.0,0.0,0.0
0.5,0.0,0.479425539,-2.04444620878982e-127
1.0,0.14432146792637185,0.841470985,1.0120008733509608e-125
1.5,0.16347980855931618,0.997494987,-2.0580897275435854e-124
2.0,-0.09740379469832638,0.909297427,-1.406846557659919e-122
2.5,-1.229851826676955,0.598472144,2.2013328788428932e-120
3.0,-3.7244630784611674,0.141120008,-1.9147387098150657e-118
3.5,5.849159736614299,-0.350783228,1.3657222308039968e-116
4.0,169.9273341549953,-0.756802495,-8.747422520259475e-115
4.5,1551.9109522904987,-0.977530118,5.22002295584854e-113
5.0,10689.536042077612,-0.958924275,-2.957511775524007e-111
5.5,59739.63686923662,-0.705540326,1.6084811913992694e-109
6.0,234755.14138427668,-0.279415498,-8.456116957995836e-108
6.5,-113022.79160973988,0.215119988,4.3174975984437484e-106
7.0,-15888143.913475987,0.656986599,-2.148000572313582e-104
7.5,-229015562.13206935,0.937999977,1.0438072388200134e-102
8.0,-2390293006.7598133,0.989358247,-4.963248814797656e-101
8.5,-20180665205.039886,0.798487113,2.312386924819949e-99
9.0,-127068808806.19519,0.412118485,-1.0567120893557536e-97
9.5,-233627619142.4956,-0.07515112,4.740306220176407e-96
10.0,9953100829378.135,-0.544021111,-2.0887404633514204e-94
10.5,227709344274820.56,-0.87969576,9.044944514339824e-93
11.0,3396740177626282.0,-0.999990207,-3.850688275171933e-91
11.5,4.023979821018503e+16,-0.875452175,1.612172554624378e-89
12.0,3.6766841758775846e+17,-0.536572918,-6.639327123199141e-88
12.5,1.7075857827251886e+18,-0.066321897,2.6899798722802868e-86
13.0,-2.6400416421810258e+19,0.420167037,-1.0723534669815254e-84
13.5,-1.001804696439613e+21,0.803784427,4.20653165011341e-83
14.0,-2.04415211504263e+22,0.990607356,-1.6237727922954569e-81
14.5,-3.2188792245832004e+23,0.934895056,6.168012587361948e-80
15.0,-3.9803478553711846e+24,0.65028784,-2.3055584125040805e-78
15.5,-3.092460164477375e+25,0.206467482,8.480065561356896e-77
16.0,1.781021066958936e+26,-0.287903317,-3.0689243917210653e-75
16.5,1.4380440290413432e+28,-0.711785342,1.0926976452846209e-73
17.0,3.939995528129422e+29,-0.961397492,-3.8273267681805307e-72
17.5,7.963589528292115e+30,-0.975626005,1.3186215584682637e-70
18.0,1.2716442451823828e+32,-0.750987247,-4.4680108089109326e-69
18.5,1.419238818652079e+33,-0.342480618,1.4887140654581347e-67
19.0,7.936134863868057e+32,0.14987721,-4.876840952628074e-66
19.5,-5.402152315742916e+35,0.60553987,1.5704245811425583e-64
20.0,-2.001456857097523e+37,0.912945251,-4.970060299160135e-63
20.5,-5.0823274200702204e+38,0.996829794,1.5455434440601426e-61
21.0,-1.0147665253472885e+40,0.836655639,-4.7214862469146665e-60
21.5,-1.5025960389204729e+41,0.471639003,1.4166130040182547e-58
22.0,-8.624781793252548e+41,-0.008851309,-4.173397610948398e-57
22.5,4.4266041126705064e+43,-0.487174512,1.2069224414663463e-55
23.0,2.3204157855909715e+45,-0.846220404,-3.425302157630101e-54
23.5,7.323664083441957e+46,-0.998082028,9.537200471254676e-53
24.0,1.7881326261998956e+48,-0.905578362,-2.6044230822868806e-51
24.5,3.347503781625571e+49,-0.59135753,6.973168901213248e-50
25.0,3.5063957796349416e+50,-0.13235175,-1.8299084381368725e-48
25.5,-6.453187317592211e+51,0.359058354,4.70494294097457e-47
26.0,-5.485497645844458e+53,0.76255845,-1.1847943376193003e-45
26.5,-2.1515583752012736e+55,0.979357643,2.9209565452546813e-44
27.0,-6.328352404733164e+56,0.956375928,-7.0472938322060925e-43
27.5,-1.4510659919565425e+58,0.699240032,1.6632125394887195e-41
28.0,-2.184706713176263e+59,0.270905788,-3.83799974285553e-40
28.5,9.739212512964431e+59,-0.22375564,8.655415953364309e-39
29.0,2.405001640506898e+62,-0.663633884,-1.906691415078499e-37
29.5,1.1879465551085078e+64,-0.941031408,4.1006716629675185e-36
30.0,4.171744458081343e+65,-0.988031624,-8.605430907524804e-35
30.5,1.1464544307118489e+67,-0.793127239,1.7610904556244842e-33
31.0,2.2514924651389094e+68,-0.404037645,-3.512505863314031e-32
31.5,1.0177670467427194e+69,0.083974456,6.82337602594886e-31
32.0,-1.7877868181223222e+71,0.551426681,-1.2901296654489605e-29
32.5,-1.1524979553526787e+73,0.883870424,2.3725064771206034e-28
33.0,-4.816789253718373e+74,0.99991186,-4.2402500632664705e-27
33.5,-1.5629150291408302e+76,0.87114,7.359289508895813e-26
34.0,-3.8017446196465774e+77,0.529082686,-1.2392804162974056e-24
34.5,-4.395257740415653e+78,0.057487478,2.0230104824404937e-23
35.0,2.0238505828023565e+80,-0.428182669,-3.198170020201834e-22
35.5,1.853874679679195e+82,-0.809018766,4.891384742265392e-21
36.0,9.252158383439534e+83,-0.991778853,-7.229530750018955e-20
36.5,3.509604492870102e+85,-0.931716888,1.0313913453862082e-18
37.0,1.0246463841873364e+87,-0.643538133,-1.4184736459198163e-17
37.5,1.8156741931729933e+88,-0.1977988,1.8780657751161446e-16
38.0,-2.813052819459694e+89,0.296368579,-2.3903003088437675e-15
38.5,-4.6886828658248385e+91,0.717974593,2.9198062933564753e-14
39.0,-2.82874370577005e+93,0.963795386,-3.4171491619556214e-13
39.5,-1.2474308278072302e+95,0.973645456,3.824400289658774e-12
40.0,-4.282559886459581e+96,0.74511316,-4.0846687759593565e-11
40.5,-1.005239939612644e+98,0.334151177,4.153949772594544e-10
41.0,-1.403996674075459e+96,-0.158622669,-4.012287418864503e-09
41.5,1.7669492257372785e+101,-0.612560153,3.670684287381973e-08
42.0,1.3240711328879659e+103,-0.916521548,-3.1709263289773264e-07
42.5,6.778721194062073e+104,-0.996086503,2.577545601196548e-06
43.0,2.6994622771817253e+106,-0.831774743,-1.9638580673328855e-05
43.5,7.849723468232245e+107,-0.463815516,0.0001396255905135325
44.0,8.265379772544343e+108,0.017701925,-0.0009216196988338082
44.5,-9.293666608561402e+110,0.494885318,0.005614290135204853
45.0,-9.157548888777894e+112,0.850903525,-0.03134511073869557
45.5,-5.461948137041809e+114,0.998590872,0.15906489957941383
46.0,-2.5008426016340874e+116,0.901788348,-0.7263492406894675
46.5,-8.679334619278235e+117,0.584196584,2.947744974259837
47.0,-1.6374717473106056e+119,0.123573123,-10.465738330614824
47.5,6.091188617454153e+120,-0.367305349,31.844333287744444
48.0,9.044390908865307e+122,-0.768254661,-80.73166071094482
48.5,6.348332342005562e+124,-0.981108439,163.71097707335935
49.0,3.325547128584504e+126,-0.953752653,-248.94685777009602
49.5,1.346291879284669e+128,-0.692884954,252.33606816796316
50.0,3.5183545919368804e+129,-0.262374854,-127.8670040883176
